name,electric_pressure,electric_current,average_power,idle_power,apparent_power,power_factor,luminance
110,116.599998,0.274,20,24.836855,31.9484,0.629,10
110,116.610001,0.274,20,24.838985,31.951139,0.629,9
110,116.610001,0.274,20,24.838985,31.951139,0.629,9
110,116.650002,0.274,20,24.847506,31.962099,0.629,9
110,116.720001,0.274,20,24.862417,31.981279,0.629,10
110,116.690002,0.274,20,24.856026,31.973061,0.629,10
110,116.589996,0.275,20,25.002882,32.062248,0.626,9
110,116.639999,0.275,21,24.153803,32.076,0.658,9
110,116.620003,0.275,21,24.14966,32.070499,0.658,9
110,116.589996,0.275,21,24.14345,32.062248,0.658,9
110,116.580002,0.275,21,24.141378,32.059502,0.658,9
110,116.550003,0.275,21,24.135166,32.05125,0.658,9
110,116.57,0.275,21,24.139307,32.056751,0.658,9
110,116.669998,0.275,21,24.160015,32.084251,0.658,9
110,116.68,0.275,21,24.162086,32.087002,0.658,9
110,116.68,0.275,21,24.162086,32.087002,0.658,10
110,116.779999,0.274,21,24.038786,31.997721,0.66,9
110,116.769997,0.274,20,24.873068,31.99498,0.629,9
110,116.800003,0.274,21,24.042904,32.003201,0.66,9
110,116.769997,0.274,20,24.873068,31.99498,0.629,9
110,116.730003,0.274,20,24.864548,31.98402,0.629,9
110,116.68,0.275,20,25.022182,32.087002,0.626,9
110,116.690002,0.274,20,24.856026,31.973061,0.629,10
110,116.870003,0.275,21,24.201431,32.139252,0.658,9
110,116.839996,0.275,21,24.195219,32.131001,0.658,9
110,116.910004,0.275,21,24.209715,32.150249,0.658,9
110,116.900002,0.274,20,24.900759,32.030602,0.629,9
110,116.849998,0.274,20,24.890108,32.016899,0.629,10
110,116.949997,0.274,21,24.07378,32.0443,0.66,9
110,116.889999,0.275,21,24.205572,32.144749,0.658,10
110,116.879997,0.275,21,24.203503,32.141998,0.658,9
110,116.860001,0.275,21,24.199362,32.136501,0.658,9
110,116.910004,0.275,21,24.209715,32.150249,0.658,10
110,116.900002,0.275,21,24.207644,32.147499,0.658,9
110,116.879997,0.275,21,24.203503,32.141998,0.658,9
110,116.870003,0.275,21,24.201431,32.139252,0.658,9
110,116.849998,0.275,21,24.19729,32.133751,0.658,10
110,116.830002,0.275,21,24.193148,32.12825,0.658,9
110,116.730003,0.275,21,24.17244,32.10075,0.658,9
110,116.790001,0.275,21,24.184866,32.117249,0.658,9
110,116.809998,0.276,21,24.333158,32.239559,0.656,9
110,116.809998,0.276,21,24.333158,32.239559,0.656,9
110,116.82,0.276,21,24.335241,32.242321,0.656,9
110,116.839996,0.276,21,24.339409,32.247841,0.656,9
110,116.860001,0.276,21,24.343575,32.253361,0.656,9
110,116.82,0.276,21,24.335241,32.242321,0.656,9
110,116.82,0.276,21,24.335241,32.242321,0.656,9
110,116.839996,0.276,21,24.339409,32.247841,0.656,9
110,116.870003,0.276,21,24.345657,32.256119,0.656,9
110,116.910004,0.277,21,24.526331,32.384071,0.653,9
110,116.849998,0.277,21,24.513744,32.367451,0.653,9
110,116.860001,0.277,21,24.515842,32.37022,0.653,10
110,116.889999,0.277,21,24.522137,32.378529,0.653,9
110,116.839996,0.277,21,24.511646,32.364681,0.653,9
110,116.760002,0.277,21,24.494864,32.342522,0.653,9
110,116.790001,0.277,21,24.501158,32.35083,0.653,9
110,116.809998,0.278,21,24.649668,32.473179,0.651,9
110,116.839996,0.278,21,24.655998,32.481522,0.651,9
